target_id	length	eff_length	est_counts	tpm
YP_081526.1	1296	1088.24	71466	15535.5
YP_081527.1	888	680.24	2539	882.98
YP_081528.1	2127	1919.24	17246.4	2125.79
YP_081529.1	1122	914.24	34300.6	8875.48
YP_081530.1	1680	1472.24	28279	4543.97
YP_081531.1	1686	1478.24	9176	1468.45
YP_081532.1	1764	1556.24	24890	3783.54
YP_081533.1	921	713.24	3664	1215.26
YP_081534.1	4113	3905.24	5493	332.745
YP_081535.1	2826	2618.24	4452	402.25
YP_081536.1	1290	1082.24	1785	390.18
YP_081537.1	2025	1817.24	11186	1456.17
YP_081538.1	336	134.777	462	810.917
YP_081539.1	606	398.316	1146	680.623
YP_081540.1	1785	1577.24	7248.74	1087.21
YP_081541.1	1038	830.24	22544.3	6423.66
YP_081542.1	1602	1394.24	5772	979.353
YP_081543.1	384	178.549	2110	2795.61
YP_081544.1	2124	1916.24	13403	1654.64
YP_081545.1	1755	1547.24	32918.4	5033.05
YP_081546.1	573	365.316	24468.6	15844.9
YP_081547.1	1116	908.24	19029	4956.39
YP_081548.1	2622	2414.24	6569	643.679
YP_081549.1	750	542.273	772	336.783
YP_081550.1	2094	1886.24	750.599	94.1372
YP_081551.1	2871	2663.24	3276.4	291.03
YP_081552.1	531	323.455	28652	20955.2
YP_081553.1	2055	1847.24	26498	3393.44
YP_081554.1	753	545.273	1979	858.583
YP_081555.1	837	629.273	6829	2567.25
YP_081556.1	942	734.24	14391	4636.64
YP_081557.1	1278	1070.24	10165	2246.86
YP_081558.1	1038	830.24	16677	4751.87
YP_081559.1	606	398.316	3925	2331.1
YP_081560.1	543	335.422	2461	1735.68
YP_081561.1	1743	1535.24	9239.11	1423.65
YP_081562.1	1476	1268.24	4636.89	864.92
YP_081563.1	453	245.844	14249	13711.2
YP_081565.1	645	437.296	2475	1338.91
YP_081566.1	390	184.202	925	1187.95
YP_081567.1	813	605.273	42209	16497
YP_081568.1	951	743.24	14261	4539.12
YP_081569.1	228	57.1041	3681	15249.3
YP_081570.1	480	272.601	5281	4582.88
YP_081571.1	363	158.946	0	0
YP_081572.1	393	187.137	10388	13131.8
YP_081573.1	531	323.455	6139	4489.87
YP_081574.1	918	710.24	1658	552.243
YP_081575.1	1017	809.24	7468	2183.12
YP_081576.1	576	368.316	3198	2054.03
YP_081577.1	417	210.431	5122	5758.12
YP_081578.1	510	302.486	4411	3449.7
YP_081579.1	723	515.273	3971	1823.11
YP_081580.1	927	719.24	2601	855.494
YP_081581.1	774	566.273	1832	765.332
YP_081582.1	243	65.7603	903	3248.44
YP_081583.1	243	65.7603	854	3072.16
YP_081584.1	234	60.5918	1482	5786.08
YP_081585.1	189	37.8754	1106	6907.94
YP_081586.1	1920	1712.24	10360	1431.34
YP_004940331.1	816	608.273	7520.05	2924.64
YP_081587.1	2544	2336.24	0	0
YP_081588.1	471	263.654	0	0
YP_081589.1	600	392.316	135	81.4043
YP_081590.1	561	353.371	0	0
YP_081591.1	549	341.405	0	0
YP_081592.1	678	470.273	870	437.643
YP_081593.1	684	476.273	1415	702.831
YP_081594.1	744	536.273	1252	552.292
YP_081595.1	558	350.371	344	232.263
YP_081596.1	648	440.296	608	326.67
YP_081597.1	846	638.273	3884	1439.54
YP_081598.1	786	578.273	1309	535.497
YP_081599.1	933	725.24	1154	376.422
YP_081600.1	789	581.273	663	269.826
YP_081601.1	930	722.24	1202	393.707
YP_081602.1	882	674.24	1882	660.322
YP_081603.1	825	617.273	5723	2193.29
YP_081604.1	723	515.273	1726	792.417
YP_081605.1	765	557.273	2632	1117.3
YP_081606.1	732	524.273	647	291.942
YP_081607.1	1731	1523.24	3390	526.48
YP_081608.1	1779	1571.24	1154	173.746
YP_081609.1	1506	1298.24	811	147.78
YP_081610.1	1812	1604.24	1934	285.192
YP_081611.1	1095	887.24	8319	2218.1
YP_081612.1	1065	857.24	37742	10415.3
YP_081613.1	1389	1181.24	6230.41	1247.75
YP_081614.1	1050	842.24	13501.6	3792.27
YP_081615.1	486	278.56	5882	4995.24
YP_081616.1	552	344.405	7994	5490.91
YP_004940332.1	174	31.7783	1770	13176.3
YP_081617.1	492	284.56	13326	11078.4
YP_081618.1	195	40.6575	1957	11386.8
YP_081619.1	2367	2159.24	2614	286.388
